Date,cash,shares_a,shares_b,position,equity,costs,price_a,price_b,returns
2018-01-02,100000.0,0.0,0.0,0,100000.0,0.0,125.1500015258789,16.209999084472656,0.0
2018-01-03,100000.0,0.0,0.0,0,100000.0,0.0,124.81999969482422,16.170000076293945,0.0
2018-01-04,100000.0,0.0,0.0,0,100000.0,0.0,125.45999908447266,16.229999542236328,0.0
2018-01-05,100000.0,0.0,0.0,0,100000.0,0.0,125.33000183105469,16.219999313354492,0.0
2018-01-08,100000.0,0.0,0.0,0,100000.0,0.0,125.30999755859375,16.149999618530273,0.0
2018-01-09,100000.0,0.0,0.0,0,100000.0,0.0,124.7300033569336,16.030000686645508,0.0
2018-01-10,100000.0,0.0,0.0,0,100000.0,0.0,125.02999877929688,16.020000457763672,0.0
2018-01-11,100000.0,0.0,0.0,0,100000.0,0.0,125.44000244140625,16.010000228881836,0.0
2018-01-12,100000.0,0.0,0.0,0,100000.0,0.0,126.95999908447266,16.270000457763672,0.0
2018-01-16,100000.0,0.0,0.0,0,100000.0,0.0,127.16999816894531,16.25,0.0
2018-01-17,100000.0,0.0,0.0,0,100000.0,0.0,126.13999938964844,16.059999465942383,0.0
2018-01-18,100000.0,0.0,0.0,0,100000.0,0.0,125.86000061035156,15.970000267028809,0.0
2018-01-19,100000.0,0.0,0.0,0,100000.0,0.0,126.41999816894531,16.049999237060547,0.0
2018-01-22,100000.0,0.0,0.0,0,100000.0,0.0,126.6500015258789,16.040000915527344,0.0
2018-01-23,100000.0,0.0,0.0,0,100000.0,0.0,127.27999877929688,16.079999923706055,0.0
2018-01-24,100000.0,0.0,0.0,0,100000.0,0.0,128.8300018310547,16.559999465942383,0.0
2018-01-25,100000.0,0.0,0.0,0,100000.0,0.0,127.97000122070312,16.309999465942383,0.0
2018-01-26,100000.0,0.0,0.0,0,100000.0,0.0,128.07000732421875,16.40999984741211,0.0
2018-01-29,100000.0,0.0,0.0,0,100000.0,0.0,127.3499984741211,16.209999084472656,0.0
2018-01-30,100000.0,0.0,0.0,0,100000.0,0.0,126.80000305175781,16.149999618530273,0.0
2018-01-31,100000.0,0.0,0.0,0,100000.0,0.0,127.6500015258789,16.350000381469727,0.0
2018-02-01,100000.0,0.0,0.0,0,100000.0,0.0,128.07000732421875,16.25,0.0
2018-02-02,100000.0,0.0,0.0,0,100000.0,0.0,126.38999938964844,15.65999984741211,0.0
2018-02-05,100000.0,0.0,0.0,0,100000.0,0.0,126.70999908447266,15.739999771118164,0.0
2018-02-06,100000.0,0.0,0.0,0,100000.0,0.0,125.37999725341797,15.649999618530273,0.0
2018-02-07,100000.0,0.0,0.0,0,100000.0,0.0,124.79000091552734,15.40999984741211,0.0
2018-02-08,100000.0,0.0,0.0,0,100000.0,0.0,124.9800033569336,15.460000038146973,0.0
2018-02-09,100000.0,0.0,0.0,0,100000.0,0.0,124.7699966430664,15.390000343322754,0.0
2018-02-12,100000.0,0.0,0.0,0,100000.0,0.0,125.37000274658203,15.569999694824219,0.0
2018-02-13,100000.0,0.0,0.0,0,100000.0,0.0,126.08000183105469,15.619999885559082,0.0
2018-02-14,100000.0,0.0,0.0,0,100000.0,0.0,128.22999572753906,15.90999984741211,0.0
2018-02-15,100000.0,0.0,0.0,0,100000.0,0.0,128.3800048828125,15.90999984741211,0.0
2018-02-16,100000.0,0.0,0.0,0,100000.0,0.0,127.95999908447266,15.729999542236328,0.0
2018-02-20,100000.0,0.0,0.0,0,100000.0,0.0,126.23999786376953,15.539999961853027,0.0
2018-02-21,100000.0,0.0,0.0,0,100000.0,0.0,125.66000366210938,15.539999961853027,0.0
2018-02-22,100000.0,0.0,0.0,0,100000.0,0.0,126.30000305175781,15.65999984741211,0.0
2018-02-23,100000.0,0.0,0.0,0,100000.0,0.0,126.13999938964844,15.59000015258789,0.0
2018-02-26,100000.0,0.0,0.0,0,100000.0,0.0,126.44999694824219,15.680000305175781,0.0
2018-02-27,100000.0,0.0,0.0,0,100000.0,0.0,125.12999725341797,15.479999542236328,0.0
2018-02-28,100000.0,0.0,0.0,0,100000.0,0.0,125.0,15.460000038146973,0.0
2018-03-01,100000.0,0.0,0.0,0,100000.0,0.0,124.72000122070312,15.539999961853027,0.0
2018-03-02,100000.0,0.0,0.0,0,100000.0,0.0,125.38999938964844,15.5600004196167,0.0
2018-03-05,100000.0,0.0,0.0,0,100000.0,0.0,125.18000030517578,15.489999771118164,0.0
2018-03-06,100000.0,0.0,0.0,0,100000.0,0.0,126.52999877929688,15.779999732971191,0.0
2018-03-07,100000.0,0.0,0.0,0,100000.0,0.0,125.72000122070312,15.529999732971191,0.0
2018-03-08,100000.0,0.0,0.0,0,100000.0,0.0,125.41999816894531,15.550000190734863,0.0
2018-03-09,100000.0,0.0,0.0,0,100000.0,0.0,125.54000091552734,15.630000114440918,0.0
2018-03-12,100000.0,0.0,0.0,0,100000.0,0.0,125.54000091552734,15.609999656677246,0.0
2018-03-13,100000.0,0.0,0.0,0,100000.0,0.0,125.77999877929688,15.609999656677246,0.0
2018-03-14,100000.0,0.0,0.0,0,100000.0,0.0,125.69999694824219,15.609999656677246,0.0
2018-03-15,100000.0,0.0,0.0,0,100000.0,0.0,124.9000015258789,15.449999809265137,0.0
2018-03-16,100000.0,0.0,0.0,0,100000.0,0.0,124.5999984741211,15.390000343322754,0.0
2018-03-19,100000.0,0.0,0.0,0,100000.0,0.0,124.87000274658203,15.390000343322754,0.0
2018-03-20,100000.0,0.0,0.0,0,100000.0,0.0,124.30999755859375,15.279999732971191,0.0
2018-03-21,100000.0,0.0,0.0,0,100000.0,0.0,126.4800033569336,15.649999618530273,0.0
2018-03-22,100000.0,0.0,0.0,0,100000.0,0.0,125.9800033569336,15.4399995803833,0.0
2018-03-23,100000.0,0.0,0.0,0,100000.0,0.0,127.61000061035156,15.579999923706055,0.0
2018-03-26,100000.0,0.0,0.0,0,100000.0,0.0,128.27999877929688,15.720000267028809,0.0
2018-03-27,100000.0,0.0,0.0,0,100000.0,0.0,127.48999786376953,15.569999694824219,0.0
2018-03-28,100000.0,0.0,0.0,0,100000.0,0.0,125.7300033569336,15.359999656677246,0.0
2018-03-29,100000.0,0.0,0.0,0,100000.0,0.0,125.79000091552734,15.40999984741211,0.0
2018-04-02,100000.0,0.0,0.0,0,100000.0,0.0,127.26000213623047,15.649999618530273,0.0
2018-04-03,100000.0,0.0,0.0,0,100000.0,0.0,126.30000305175781,15.460000038146973,0.0
2018-04-04,100000.0,0.0,0.0,0,100000.0,0.0,126.44999694824219,15.380000114440918,0.0
2018-04-05,100000.0,0.0,0.0,0,100000.0,0.0,125.80000305175781,15.449999809265137,0.0
2018-04-06,100000.0,0.0,0.0,0,100000.0,0.0,126.38999938964844,15.430000305175781,0.0
2018-04-09,100000.0,0.0,0.0,0,100000.0,0.0,126.81999969482422,15.5600004196167,0.0
2018-04-10,100000.0,0.0,0.0,0,100000.0,0.0,127.12000274658203,15.619999885559082,0.0
2018-04-11,100000.0,0.0,0.0,0,100000.0,0.0,128.11000061035156,15.6899995803833,0.0
2018-04-12,100000.0,0.0,0.0,0,100000.0,0.0,126.62000274658203,15.520000457763672,0.0
2018-04-13,100000.0,0.0,0.0,0,100000.0,0.0,127.44999694824219,15.680000305175781,0.0
2018-04-16,100000.0,0.0,0.0,0,100000.0,0.0,127.62999725341797,15.720000267028809,0.0
2018-04-17,100000.0,0.0,0.0,0,100000.0,0.0,127.75,15.800000190734863,0.0
2018-04-18,100000.0,0.0,0.0,0,100000.0,0.0,127.8499984741211,16.18000030517578,0.0
2018-04-19,100000.0,0.0,0.0,0,100000.0,0.0,127.5999984741211,16.260000228881836,0.0
2018-04-20,100000.0,0.0,0.0,0,100000.0,0.0,126.62999725341797,16.1299991607666,0.0
2018-04-23,58625.35678198466,796.051566737614,-3751.381023401398,1,99841.21585907709,158.78414092290757,125.62000274658203,15.670000076293945,-0.0015878414092291848
2018-04-24,58824.47424967423,792.2046846282301,-3733.252649377154,1,99988.41164101657,0.77129512035261,126.2300033569336,15.760000228881836,0.0014742987720346434
2018-04-25,58554.87706932386,797.3845552977477,-3757.6627119223945,1,99897.76342630638,1.0306486675841366,125.41000366210938,15.609999656677246,-0.0009065872056818192
2018-04-26,58409.59578650408,800.1920382748106,-3770.8929331841123,1,99659.0841751919,0.5569779973188215,124.97000122070312,15.579999923706055,-0.002389235183333671
2018-04-27,58585.074632564574,796.8127490039841,-3754.9680833717875,1,100120.22272039115,0.6720507102067386,125.5,15.569999694824219,0.004627160173262368
2018-04-30,58280.6407156553,802.6326586349513,-3782.394319886837,1,100107.41564293506,1.1469180403492045,124.58999633789062,15.380000114440918,-0.00012791698927661077
2018-05-01,57983.251760814775,808.3420963548565,-3809.2999591842017,1,99929.52125472711,1.1163564718359495,123.70999908447266,15.239999771118164,-0.0017770350684355174
2018-05-02,57963.17779261352,808.7343207923118,-3811.1483109406267,1,99195.2705471415,0.07700013651492635,123.6500015258789,15.420000076293945,-0.007347685632496548
2018-05-03,58173.192344437026,804.6347037513686,-3791.828927356427,1,99551.51698285987,0.8081780717927043,124.27999877929688,15.460000038146973,0.003591365130145796
2018-05-04,58259.04910585561,802.9548680333456,-3783.912726825789,1,99457.04547532767,0.33222449780465685,124.54000091552734,15.539999961853027,-0.0009489710493157943
2018-05-07,58268.956146751974,802.7615015251133,-3783.0014900669485,1,99556.77128919227,0.03823006078582384,124.56999969482422,15.520000457763672,0.001002702356459384
2018-05-08,58275.56600258807,802.6326586349513,-3782.394319886837,1,99610.62923542189,0.025469744845946093,124.58999633789062,15.510000228881836,0.0005409772286926184
2018-05-09,58189.39063522694,804.311095691003,-3790.303929243992,1,99325.97162618808,0.3315163134567348,124.33000183105469,15.529999732971191,-0.002857703152954083
2018-05-10,58466.865344958045,798.8496545471356,-3764.566970077526,1,99212.58209757876,1.0887629354454633,125.18000030517578,15.739999771118164,-0.001141589926107689
2018-05-11,58407.95273401675,800.0,-3769.9879557052745,1,99219.14254851209,0.22890265492972617,125.0,15.699999809265137,6.612519092463742e-05
2018-05-14,58239.62114856925,803.2773854605641,-3785.4325853459377,1,99338.28853215574,0.6483201526739196,124.48999786376953,15.5600004196167,0.0012008366589681962
2018-05-15,57574.80084979638,816.4598077988132,-3847.5545521487115,1,98591.78985890176,2.5669128785882624,122.4800033569336,15.329999923706055,-0.007514712446574312
2018-05-16,57511.54460905446,817.7283445199718,-3853.5325123488838,1,98128.60918176055,0.24724972256434405,122.29000091552734,15.40999984741211,-0.004697963976555086
2018-05-17,57534.5899434521,817.260538584372,-3851.32798392036,1,97954.5450037886,0.09134478994345259,122.36000061035156,15.470000267028809,-0.0017738372063291763
2018-05-18,57551.03676434277,816.9266972332741,-3849.754761579416,1,97956.83481737129,0.06521900212809773,122.41000366210938,15.479999542236328,2.3376287262566464e-05
2018-05-21,57573.938753499664,816.4598077988132,-3847.5545521487115,1,97782.94115988123,0.09137587396930205,122.4800033569336,15.539999961853027,-0.001775206985957234
2018-05-22,57550.974647679875,816.9266972332741,-3849.754761579416,1,97571.79575598557,0.09143120014466999,122.41000366210938,15.579999923706055,-0.0021593276024539643
2018-05-23,57593.70084488064,816.0600559235736,-3845.6707274550567,1,97985.80456932724,0.1695007558117051,122.54000091552734,15.5,0.004243119747196822
2018-05-24,57936.56647233184,809.1269759941054,-3812.99869266751,1,98110.61858437654,1.369483535200159,123.58999633789062,15.6899995803833,0.0012737969096430213
2018-05-25,57811.240553088566,811.6224392749172,-3824.7585258082167,1,98412.74166860769,0.4900962340791174,123.20999908447266,15.529999732971191,0.0030794126934519106
2018-05-29,57804.5709141741,811.7541847404681,-3825.379374331149,1,98740.71497969424,0.025815625156416794,123.19000244140625,15.4399995803833,0.003332630567197903
2018-05-30,57863.664231350755,810.5698125452178,-3819.7980381921916,1,98465.80400889352,0.23290577900634224,123.37000274658203,15.550000190734863,-0.0027841703481410462
2018-05-31,57773.98618224401,812.347694878507,-3828.1762819211435,1,98590.38071770978,0.34838496088426874,123.0999984741211,15.460000038146973,0.0012651773889440499
2018-06-01,57572.01696997319,816.3931891909871,-3847.2406129622987,1,98170.62352020171,0.7898858529692977,122.48999786376953,15.4399995803833,-0.004257587753007441
2018-06-04,57532.18381658715,817.1937382978701,-3851.0131885759233,1,98034.03078761161,0.15624948891899426,122.37000274658203,15.449999809265137,-0.001391380921218155
2018-06-05,57690.284928805384,814.000824111247,-3835.966628541961,1,98156.08109786797,0.6257721215695168,122.8499984741211,15.520000457763672,0.0012449790065327537
2018-06-06,57712.87709876685,813.5372721252135,-3833.782146786724,1,97522.49812545121,0.09127617241501944,122.91999816894531,15.699999809265137,-0.00645485195955442
2018-06-07,57693.41947375171,813.9345556178885,-3835.6543392647054,1,97396.93223628034,0.07824111640633286,122.86000061035156,15.720000267028809,-0.0012875581694938854
