Date,cash,shares_a,shares_b,position,equity,costs,price_a,price_b,returns
2020-01-02,100000.0,0.0,0.0,0,100000.0,0.0,45.43271255493164,112.11238861083984,0.0
2020-01-03,100000.0,0.0,0.0,0,100000.0,0.0,45.18484878540039,111.95556640625,0.0
2020-01-06,100000.0,0.0,0.0,0,100000.0,0.0,45.1683235168457,112.38478088378906,0.0
2020-01-07,100000.0,0.0,0.0,0,100000.0,0.0,44.82131576538086,110.61834716796876,0.0
2020-01-08,100000.0,0.0,0.0,0,100000.0,0.0,44.90393829345703,111.18788146972656,0.0
2020-01-09,100000.0,0.0,0.0,0,100000.0,0.0,45.72188568115234,111.26219177246094,0.0
2020-01-10,100000.0,0.0,0.0,0,100000.0,0.0,45.87885665893555,111.04757690429688,0.0
2020-01-13,100000.0,0.0,0.0,0,100000.0,0.0,46.37458038330078,112.69844818115234,0.0
2020-01-14,100000.0,0.0,0.0,0,100000.0,0.0,46.26716995239258,112.9626007080078,0.0
2020-01-15,100000.0,0.0,0.0,0,100000.0,0.0,46.845516204833984,114.90242767333984,0.0
2020-01-16,100000.0,0.0,0.0,0,100000.0,0.0,46.94465637207031,115.24085998535156,0.0
2020-01-17,100000.0,0.0,0.0,0,100000.0,0.0,47.04379653930664,116.60287475585938,0.0
2020-01-21,100000.0,0.0,0.0,0,100000.0,0.0,47.23382186889648,117.09810638427734,0.0
2020-01-22,100000.0,0.0,0.0,0,100000.0,0.0,47.597354888916016,118.352783203125,0.0
2020-01-23,100000.0,0.0,0.0,0,100000.0,0.0,47.77911758422852,118.57568359375,0.0
2020-01-24,100000.0,0.0,0.0,0,100000.0,0.0,47.65519332885742,117.97306823730467,0.0
2020-01-27,100000.0,0.0,0.0,0,100000.0,0.0,47.48995208740234,117.3292236328125,0.0
2020-01-28,100000.0,0.0,0.0,0,100000.0,0.0,47.10163116455078,117.57686614990234,0.0
2020-01-29,100000.0,0.0,0.0,0,100000.0,0.0,47.10163116455078,116.99079895019533,0.0
2020-01-30,100000.0,0.0,0.0,0,100000.0,0.0,48.63010787963867,118.72423553466795,0.0
2020-01-31,100000.0,0.0,0.0,0,100000.0,0.0,48.25004959106445,117.23019409179688,0.0
2020-02-03,100000.0,0.0,0.0,0,100000.0,0.0,48.39876556396485,117.6346664428711,0.0
2020-02-04,100000.0,0.0,0.0,0,100000.0,0.0,48.613582611083984,118.220703125,0.0
2020-02-05,100000.0,0.0,0.0,0,100000.0,0.0,48.62184524536133,119.11219787597656,0.0
2020-02-06,100000.0,0.0,0.0,0,100000.0,0.0,48.73751068115234,119.13697052001952,0.0
2020-02-07,100000.0,0.0,0.0,0,100000.0,0.0,48.90274810791016,119.99539947509766,0.0
2020-02-10,100000.0,0.0,0.0,0,100000.0,0.0,49.36542892456055,120.23477172851562,0.0
2020-02-11,100000.0,0.0,0.0,0,100000.0,0.0,49.23323059082031,120.5815200805664,0.0
2020-02-12,100000.0,0.0,0.0,0,100000.0,0.0,49.08451461791992,120.5815200805664,0.0
2020-02-13,100000.0,0.0,0.0,0,100000.0,0.0,49.24976348876953,120.90343475341795,0.0
2020-02-14,100000.0,0.0,0.0,0,100000.0,0.0,49.5306510925293,121.33265686035156,0.0
